Reference, Value, Footprint, Datasheet
U1,TJA1042T/3,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
P2,CAN,,
C1,0.1uf (6V min),Capacitors_SMD:C_0805_HandSoldering,
P4,USB_OTG,,
R9,22R,Resistors_SMD:R_0805_HandSoldering,
R10,22R,Resistors_SMD:R_0805_HandSoldering,
D1,10V,Diodes_SMD:DO-214AB_Handsoldering,
R1,1k,Resistors_SMD:R_0805_HandSoldering,
R2,1k,Resistors_SMD:R_0805_HandSoldering,
R3,1k,Resistors_SMD:R_0805_HandSoldering,
R4,1k,Resistors_SMD:R_0805_HandSoldering,
R5,1k,Resistors_SMD:R_0805_HandSoldering,
R8,1k,Resistors_SMD:R_0805_HandSoldering,
R7,10k,Resistors_SMD:R_0805_HandSoldering,
C2,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
R6,1k,Resistors_SMD:R_0805_HandSoldering,
P3,DATA,,
P5,PhaseA,,
P6,PhaseB,,
P7,PhaseC,,
W1,TEST_1P,,
W2,TEST_1P,,
P1,Sensor,,
P9,VSUPPLY,,
P10,GND,,
X1,8MHz,,
C5,15pF,Capacitors_SMD:C_0805_HandSoldering,
C6,15pF,Capacitors_SMD:C_0805_HandSoldering,
P8,CONN_02X05,,
C13,10nf,Capacitors_SMD:C_0805_HandSoldering,
C10,100nf,Capacitors_SMD:C_0805_HandSoldering,
C12,100nf,Capacitors_SMD:C_0805_HandSoldering,
C11,100nf,Capacitors_SMD:C_0805_HandSoldering,
C9,100nf 5V,Capacitors_SMD:C_0805_HandSoldering,
C8,4.7uf,Capacitors_SMD:C_1206_HandSoldering,
C14,1uf,Capacitors_SMD:C_0805_HandSoldering,
R13,10,Resistors_SMD:R_0805_HandSoldering,
L1,INDUCTOR,Resistors_SMD:R_0805_HandSoldering,
C7,100nf,Capacitors_SMD:C_0805_HandSoldering,
SW1,RESET,,
JP2,Jumper_NC_Small,Resistors_SMD:R_0805_HandSoldering,
JP1,Jumper_NO_Small,Resistors_SMD:R_0805_HandSoldering,
C4,2.2uf,Capacitors_SMD:C_0805_HandSoldering,
C3,2.2uf,Capacitors_SMD:C_0805_HandSoldering,
U2,STM32F205RBTx,LQFP64,
R11,100R,Resistors_SMD:R_0805_HandSoldering,
D2,GREEN LED,LEDs:LED_0805,
R12,100R,Resistors_SMD:R_0805_HandSoldering,
D3,RED LED,LEDs:LED_0805,
R16,10K,Resistors_SMD:R_0805_HandSoldering,
R17,10K,Resistors_SMD:R_0805_HandSoldering,
C16,0.1uF 5V,Capacitors_SMD:C_0805_HandSoldering,
R15,10K,Resistors_SMD:R_0805_HandSoldering,
SW2,CAL,,
R14,10K,Resistors_SMD:R_0805_HandSoldering,
C15,0.1uF 5V,Capacitors_SMD:C_0805_HandSoldering,
W14,TEST_1P,,
U3,DRV8305,,
R19,10K,Resistors_SMD:R_0805_HandSoldering,
